,Sample ID,Analyte Name,Final PPM
46,10D1[01]04A20221004,Cr 267.716,4.566068609590825
47,10D1[01]04A20221004,Ni 231.604,9.11587145217618
49,10D1[01]05A20221004,Cr 267.716,4.353522303985171
50,10D1[01]05A20221004,Ni 231.604,8.039290324992276
57,10D3[01]0320220309,Sc 361.383,289394.9824159039
58,10D3[01]0320220309,Cr 267.716,1416.181037729358
60,10D3[01]0220220309,Sc 361.383,120362.08277189589
61,10D3[01]0220220309,Cr 267.716,538208.6154956688
